,step 0,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,step 13,step 14,step 15,step 16,step 17,step 18,step 19,step 20
vqysm9hn,10.2622,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285
pd0az7ll,11.0861,24.8689,34.0824,37.7528,43.6704,44.8689,46.5918,46.8914,49.8127,51.3109,50.8614,52.2097,53.1835,54.0075,53.1086,54.0075,55.1311,54.4569,54.7566,55.2809,54.9813
15p5upxd,5.5431,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285
kikwbayq,7.0412,29.2884,42.8464,41.0487,49.588,53.633,53.0337,54.2322,54.5318,57.0787,58.0524,55.9551,59.7004,60.4494,59.0262,60.824,61.1236,61.4232,59.0262,61.1985,60.9738
rj73iih8,14.2322,24.9438,32.6592,34.4569,36.2547,37.0787,37.3783,38.8764,41.1236,42.397,43.5206,43.4457,45.8427,45.6929,46.8914,47.8652,47.2659,48.1648,47.7154,48.3895,49.2135
l1unej7h,10.2622,24.1948,29.588,37.7528,39.8502,38.8764,38.2772,43.0712,42.7715,44.6442,43.8202,41.6479,45.8427,46.1423,43.8951,46.367,48.015,44.1948,47.4906,49.2884,48.4644
lszt8sev,7.2659,9.4382,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285
u48n33xl,12.0599,22.5468,31.6854,38.5019,40.5243,43.3708,44.6442,47.4906,47.7903,48.764,49.9625,50.412,50.5618,50.6367,51.236,51.6105,51.9101,52.2097,52.6592,52.3596,53.1835
oigmc4x7,7.5655,7.5655,7.5655,7.5655,7.4906,7.4157,7.4906,7.4906,7.4157,7.4906,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285
im1xjhdf,10.8614,36.3296,46.5169,40.9738,43.4457,41.1985,40.824,43.6704,42.1723,43.5955,44.7191,42.9213,42.4719,41.1236,39.176,43.97,43.4457,43.3708,42.3221,38.1273,45.0187
19ntlh1m,7.4157,32.0599,40.2247,41.3483,45.618,42.5468,47.9401,44.8689,44.8689,46.2172,45.618,49.2884,44.794,41.2734,46.1423,49.8876,48.1648,50.1124,49.3633,48.1648,47.4157
wmkh8hyc,12.2097,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285
75nozjn5,17.0037,35.0562,40.824,46.5918,48.3146,50.5618,50.9363,51.8352,53.7828,54.0075,54.3071,55.0562,55.8801,56.8539,56.03,56.03,57.0787,57.603,55.7303,57.2285,58.8015
7is9mpd0,7.4157,8.3146,8.4644,8.3895,8.3146,8.3146,8.3146,8.3146,9.1386,12.2846,13.1835,13.7828,13.5581,13.4831,14.0824,14.4569,14.4569,14.6816,14.8315,15.206,15.2809
an7cdan4,9.4382,27.6404,33.5581,33.8577,37.4532,39.176,43.221,45.2434,49.4382,48.1648,52.2097,51.9101,54.382,54.4569,55.4307,58.3521,57.1536,59.7004,58.2022,59.8502,60.2247
s4ig1uih,9.8876,17.2285,21.6479,24.794,26.2172,33.1835,31.8352,31.6105,34.0824,32.2846,33.633,31.6854,31.8352,33.0337,33.633,32.9588,35.5056,31.161,34.6067,35.1311,33.1835
v1gp8yyu,12.6592,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285
tzkydesj,8.3895,17.2285,32.4345,35.0562,37.2285,39.176,42.7715,44.4195,44.4944,46.5169,47.3408,48.3895,49.1386,49.2135,48.0899,49.1386,50.0375,50.6367,51.5356,50.412,51.6854
6iuqdtgo,17.5281,25.0936,26.0674,27.9401,31.985,32.8839,33.7828,33.8577,35.8801,37.4532,39.176,40.3745,42.4719,43.2959,43.5955,44.5693,44.5693,45.3933,44.6442,46.0674,46.5169
rs2zwncf,17.3034,16.6292,16.8539,17.1536,17.2285,17.6779,18.2772,21.9476,22.4719,22.9963,26.2921,25.0187,27.1161,27.7154,28.1648,29.5131,31.236,31.161,31.3109,31.8352,33.4082
5d9hl28m,5.9925,10.7865,19.6255,21.8727,24.1199,31.6105,36.03,39.9251,41.0487,41.573,43.97,44.1948,44.4944,44.9438,44.9438,47.0412,46.5169,46.5918,48.015,47.4906,46.6667
n603dg3g,5.7678,7.5655,6.6667,14.8315,14.9813,15.4307,13.3333,15.8801,15.8801,15.8801,16.1049,15.8801,15.206,16.8539,17.3783,16.5543,16.779,18.427,19.6255,24.6442,24.9438
9z5f12ij,10.5618,16.5543,15.9551,15.9551,15.5056,15.8801,17.1536,15.5056,15.5805,16.6292,16.6292,16.1798,15.7303,15.0562,14.0075,13.1835,27.7154,27.7903,28.0899,27.4906,28.1648
x30dhcow,6.2172,9.8127,9.0637,15.5805,16.8539,16.4794,18.0524,18.2022,16.3296,17.3783,30.7116,30.7116,29.9625,30.7865,30.412,34.9064,32.809,34.8315,35.7303,34.9813,35.8801
qu9jd2pa,8.9888,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285
d3u1y9ck,8.9888,26.9663,36.7041,40.1498,40.8989,40.5243,39.7004,46.8914,49.5131,50.412,51.3858,49.7378,51.236,48.9139,52.3596,53.2584,53.2584,55.5056,56.03,53.2584,55.3558
sdk1b4z4,14.1573,11.0112,10.7116,10.5618,10.3371,10.2622,10.2622,10.2622,10.2622,10.2622,10.2622,10.2622,10.2622,10.2622,10.2622,10.2622,10.3371,10.3371,10.3371,10.2622,10.2622
d2lnvldd,9.6629,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285
e02c35bl,12.2097,16.7041,22.4719,24.2697,29.0637,30.5618,30.5618,30.9363,32.0599,31.9101,31.7603,32.2097,32.5094,32.5843,37.3783,37.3783,35.5805,36.1798,35.0562,34.8315,36.03
q8q0vrte,10.1873,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.3034,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285
4bfvrypd,7.3408,27.8652,28.1648,26.8165,28.4644,19.4007,17.5281,17.6779,17.3034,17.5281,20.2996,27.8652,29.2884,29.9625,30.2622,24.8689,32.0599,31.7603,28.4644,31.3109,29.4382
niqilp71,11.9101,11.161,10.7865,11.3109,12.1348,11.4607,12.6592,13.3333,13.7828,13.9326,13.3333,13.8577,13.633,13.7079,14.4569,15.4307,16.4794,17.1536,17.7528,17.3783,18.0524
0afrgvyj,11.3858,12.5843,24.4944,26.7416,28.3146,29.7378,30.7116,30.412,31.5356,31.9101,32.5094,32.2846,35.8052,36.3296,37.4532,39.5506,40.3745,43.1461,43.7453,44.9438,46.1423
jh8tc9b1,3.8202,22.9213,37.9026,41.2734,38.6517,43.6704,46.7416,38.8015,47.9401,41.7978,43.5206,45.0936,45.3933,45.0187,48.5393,44.1199,47.4157,40.0,34.9064,45.0187,43.4457
vb49jj5i,5.8427,36.5543,44.4195,45.3184,46.7416,47.3408,49.6629,51.0112,53.4831,54.1573,53.2584,54.0824,55.5056,55.4307,56.779,56.8539,56.4794,57.0037,58.427,54.1573,57.3034
7v7r2n5x,6.2172,10.0375,10.0375,10.0375,10.0375,10.0375,10.0375,10.0375,10.0375,10.1873,10.0375,10.0375,10.0375,10.0375,10.1124,10.1124,10.1124,10.1124,10.1124,10.1124,10.1873
rig4q6ue,7.7154,42.3221,49.6629,51.0861,53.3333,54.5318,54.382,57.1536,58.427,57.4532,58.1273,59.3258,59.4007,60.2996,59.7753,59.9251,60.824,60.6742,61.4232,61.4232,60.9738
aqo3jmo6,7.7903,44.794,46.367,52.3596,52.7341,52.2846,52.2097,54.1573,55.3558,55.4307,56.5543,57.4532,57.1536,57.4532,59.1011,58.5019,59.8502,58.7266,58.1273,58.0524,59.5506
1r3jg243,9.4382,36.1049,39.5506,40.5243,47.1161,47.4906,54.4569,56.1049,55.9551,57.3034,57.3034,58.5019,59.1011,60.8989,60.5993,58.5019,60.3745,60.4494,60.9738,60.7491,59.4007
05a0pqo7,4.794,33.633,40.4494,42.1723,45.618,48.6142,49.7378,51.161,52.2846,52.4345,53.7828,54.2322,54.3071,55.5805,55.2809,56.03,57.0787,57.2285,58.3521,57.5281,59.3258
bjwip4ht,7.7154,6.5918,5.0936,4.7191,4.794,5.5431,6.6667,10.1124,13.7828,16.779,20.2247,22.9213,24.7191,25.618,26.4419,27.3408,28.4644,30.412,31.5356,32.2097,32.5094
9ybiuvnl,7.3408,38.427,49.6629,52.2846,53.2584,53.5581,53.7828,50.412,54.8315,55.1311,55.6554,55.7303,55.8052,56.2547,55.206,56.6292,57.7528,59.7004,58.2022,59.6255,58.5019
v26pmaf0,8.2397,40.8989,48.3146,51.3858,52.5094,54.7566,56.779,58.427,59.176,55.6554,59.8502,60.5243,60.0,62.7715,61.4232,60.0749,62.9963,60.9738,61.1985,62.397,62.4719
da14x2nx,16.2547,15.8801,16.03,17.3034,18.5019,19.8502,20.5243,20.2996,21.2734,21.9476,22.3221,22.6966,23.7453,24.2697,23.5955,25.3184,25.6929,25.618,25.2434,25.6929,26.0674
biqav1dj,7.191,31.9101,44.794,44.8689,46.6667,46.9663,47.6404,49.588,47.3408,52.6592,49.4382,52.5094,53.2584,48.0899,52.6592,53.3333,55.5056,54.3071,54.3071,52.2097,52.5094
m6oxnm3h,8.9888,16.5543,23.221,28.5393,30.1873,31.236,33.8577,37.0787,38.6517,41.7978,44.6442,47.8652,46.7416,48.6142,49.1386,49.8127,49.4382,50.7865,51.0861,52.6592,53.3333
j5ujnm8u,7.191,11.3858,21.9476,25.0936,26.5918,28.6891,31.5356,32.809,34.6816,35.206,36.8539,37.9026,38.0524,39.6255,40.4494,41.4981,41.6479,41.7228,42.4719,43.1461,43.3708
nggyog2a,10.7116,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285,17.2285
